tag	策略	投入方式	再平衡	窗口	total_return	capital_return_annualized	annual_return	max_drawdown	sortino	beat_benchmark	benchmark_return
永久组合|一次性|年度|2014-2025	永久组合	一次性	年度	2014-2025	1.053266	0.064147	0.064147	-0.141058	0.728184	0	0.079751
永久组合|一次性|季度|2014-2025	永久组合	一次性	季度	2014-2025	1.008809	0.062135	0.062135	-0.130903	0.731539	0	0.079751
永久组合|一次性|月度|2014-2025	永久组合	一次性	月度	2014-2025	0.987057	0.061137	0.061137	-0.124589	0.722832	0	0.079751
股债30/70|一次性|月度|2014-2025	股债30/70	一次性	月度	2014-2025	0.841245	0.054190	0.054190	-0.129015	0.589597	0	0.079751
股债30/70|一次性|年度|2014-2025	股债30/70	一次性	年度	2014-2025	0.792458	0.051745	0.051745	-0.160548	0.497865	0	0.079751
股债30/70|一次性|季度|2014-2025	股债30/70	一次性	季度	2014-2025	0.784920	0.051362	0.051362	-0.149508	0.511605	0	0.079751
永久组合|一次性|月度|2016-2025	永久组合	一次性	月度	2016-2025	0.782068	0.061827	0.061827	-0.084096	0.887880	1	0.049892
永久组合|一次性|季度|2016-2025	永久组合	一次性	季度	2016-2025	0.758620	0.060368	0.060368	-0.089438	0.857708	1	0.049892
永久组合|一次性|年度|2016-2025	永久组合	一次性	年度	2016-2025	0.754945	0.060138	0.060138	-0.084979	0.848178	1	0.049892
股债30/70|一次性|月度|2014-2023	股债30/70	一次性	月度	2014-2023	0.577157	0.048343	0.048343	-0.129015	0.458256	0	0.057290
股债30/70|一次性|季度|2014-2023	股债30/70	一次性	季度	2014-2023	0.534903	0.045397	0.045397	-0.149508	0.382389	0	0.057290
永久组合|一次性|月度|2014-2023	永久组合	一次性	月度	2014-2023	0.532912	0.045257	0.045257	-0.119419	0.431221	0	0.057290
股债30/70|一次性|年度|2014-2023	股债30/70	一次性	年度	2014-2023	0.530728	0.045102	0.045102	-0.160548	0.363790	0	0.057290
永久组合|一次性|月度|2015-2024	永久组合	一次性	月度	2015-2024	0.521907	0.044552	0.044552	-0.119886	0.410254	1	0.026817
永久组合|一次性|年度|2014-2023	永久组合	一次性	年度	2014-2023	0.517797	0.044184	0.044184	-0.141058	0.365179	0	0.057290
永久组合|一次性|季度|2015-2024	永久组合	一次性	季度	2015-2024	0.510091	0.043707	0.043707	-0.132265	0.374425	1	0.026817
永久组合|一次性|季度|2014-2023	永久组合	一次性	季度	2014-2023	0.502876	0.043116	0.043116	-0.130903	0.362505	0	0.057290
永久组合|定投|年度|2014-2025	永久组合	定投	年度	2014-2025	0.496568	0.035456	2.658066	-0.063693	52.594470	0	0.079751
永久组合|一次性|年度|2015-2024	永久组合	一次性	年度	2015-2024	0.492919	0.042469	0.042469	-0.142388	0.329295	1	0.026817
永久组合|定投|月度|2014-2025	永久组合	定投	月度	2014-2025	0.486556	0.034856	2.655819	-0.059036	54.588640	0	0.079751
永久组合|定投|季度|2014-2025	永久组合	定投	季度	2014-2025	0.480180	0.034471	2.654381	-0.060884	53.409789	0	0.079751
永久组合|定投|年度|2016-2025	永久组合	定投	年度	2016-2025	0.459028	0.040004	3.368076	-0.058753	80.134265	0	0.049892
永久组合|定投|季度|2016-2025	永久组合	定投	季度	2016-2025	0.443326	0.038836	3.363169	-0.058768	81.850892	0	0.049892
永久组合|定投|月度|2016-2025	永久组合	定投	月度	2016-2025	0.442885	0.038803	3.363031	-0.060000	81.211500	0	0.049892
股债30/70|一次性|月度|2015-2024	股债30/70	一次性	月度	2015-2024	0.437960	0.038418	0.038418	-0.129016	0.259635	1	0.026817
股债30/70|一次性|月度|2016-2025	股债30/70	一次性	月度	2016-2025	0.423326	0.037348	0.037348	-0.085656	0.309532	0	0.049892
股债30/70|一次性|季度|2016-2025	股债30/70	一次性	季度	2016-2025	0.420667	0.037146	0.037146	-0.082807	0.308972	0	0.049892
股债30/70|一次性|年度|2016-2025	股债30/70	一次性	年度	2016-2025	0.417098	0.036876	0.036876	-0.082478	0.299711	0	0.049892
股债30/70|一次性|季度|2015-2024	股债30/70	一次性	季度	2015-2024	0.389573	0.034736	0.034736	-0.148627	0.180276	1	0.026817
股债30/70|一次性|年度|2015-2024	股债30/70	一次性	年度	2015-2024	0.379635	0.033965	0.033965	-0.159124	0.160813	1	0.026817
股债30/70|定投|月度|2014-2025	股债30/70	定投	月度	2014-2025	0.285595	0.021956	2.375279	-0.076968	47.647376	0	0.079751
股债30/70|定投|季度|2014-2025	股债30/70	定投	季度	2014-2025	0.277095	0.021370	2.373343	-0.086387	45.509061	0	0.079751
永久组合|定投|年度|2015-2024	永久组合	定投	年度	2015-2024	0.275696	0.025594	3.304981	-0.058958	68.986844	0	0.026817
永久组合|定投|月度|2015-2024	永久组合	定投	月度	2015-2024	0.272377	0.025317	3.303817	-0.060000	68.699995	0	0.026817
永久组合|定投|季度|2015-2024	永久组合	定投	季度	2015-2024	0.267244	0.024887	3.302011	-0.059311	68.490697	0	0.026817
股债30/70|定投|年度|2014-2025	股债30/70	定投	年度	2014-2025	0.258095	0.020047	2.368973	-0.091641	44.672164	0	0.079751
股债30/70|定投|月度|2016-2025	股债30/70	定投	月度	2016-2025	0.228970	0.021647	3.293486	-0.047272	86.692450	0	0.049892
股债30/70|定投|季度|2016-2025	股债30/70	定投	季度	2016-2025	0.221960	0.021041	3.290935	-0.046204	88.991284	0	0.049892
股债30/70|定投|年度|2016-2025	股债30/70	定投	年度	2016-2025	0.215630	0.020490	3.288619	-0.046278	90.563071	0	0.049892
股债30/70|定投|月度|2015-2024	股债30/70	定投	月度	2015-2024	0.192023	0.018398	3.274764	-0.079232	62.774327	0	0.026817
股债30/70|定投|年度|2015-2024	股债30/70	定投	年度	2015-2024	0.189321	0.018158	3.273757	-0.066502	69.673418	0	0.026817
股债30/70|定投|季度|2015-2024	股债30/70	定投	季度	2015-2024	0.186746	0.017929	3.272795	-0.067482	68.623906	0	0.026817
永久组合|定投|月度|2014-2023	永久组合	定投	月度	2014-2023	0.157138	0.015238	3.682614	-0.059999	76.627361	0	0.057290
永久组合|定投|年度|2014-2023	永久组合	定投	年度	2014-2023	0.154934	0.015037	3.681623	-0.063695	75.126493	0	0.057290
永久组合|定投|季度|2014-2023	永久组合	定投	季度	2014-2023	0.153735	0.014928	3.681083	-0.060881	75.084447	0	0.057290
股债30/70|定投|月度|2014-2023	股债30/70	定投	月度	2014-2023	0.136295	0.013328	3.243444	-0.076974	62.351317	0	0.057290
股债30/70|定投|年度|2014-2023	股债30/70	定投	年度	2014-2023	0.131366	0.012871	3.241533	-0.091637	58.257865	0	0.057290
股债30/70|定投|季度|2014-2023	股债30/70	定投	季度	2014-2023	0.128957	0.012648	3.240596	-0.086380	59.586432	0	0.057290
